
No compatibility mode selected!


Circuit: bgr tf - compute variation coefficients

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xbgr.xsky130_asc_res_xhigh_po_2p85_1_17.x0.t2    -1.64661e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_17.x1.t1    -1.56293e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_17.x1.t2    -1.64529e-23
xbgr.sky130_asc_res_xhigh_po_2p85_1_28/rin     4.42057e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_28.x0.t1     4.42052e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_28.x0.t2     4.41336e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_28.x1.t1     4.40609e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_28.x1.t2     4.41325e-26
porst                              4.28443e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_18.x0.t1    -1.89631e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_18.x0.t2    -1.81395e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_18.x1.t1    -1.73028e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_18.x1.t2    -1.81264e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_29.x0.t1     4.43506e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_29.x0.t2      4.4279e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_29.x1.t1     4.42063e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_29.x1.t2     4.42779e-26
xbgr.sky130_asc_pfet_01v8_lvt_6_1/gate    -2.12899e-18
xbgr.sky130_asc_nfet_01v8_lvt_1_1/drain     1.40402e-18
xbgr.xsky130_asc_res_xhigh_po_2p85_1_19.x0.t1    -1.89698e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_19.x0.t2    -1.89698e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_19.x1.t1    -1.89699e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_19.x1.t2    -1.89698e-23
xbgr.xsky130_asc_cap_mim_m3_1_0.x0.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x0.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x1.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x1.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x2.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x2.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x3.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x3.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x4.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x4.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x5.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x5.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x6.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x6.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x7.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x7.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x8.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x8.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x9.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x9.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x10.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x10.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x11.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x11.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x12.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x12.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x13.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x13.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x14.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x14.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x15.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x15.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x16.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x16.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x17.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x17.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x18.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x18.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x19.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_0.x19.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x0.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x0.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x1.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x1.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x2.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x2.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x3.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x3.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x4.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x4.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x5.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x5.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x6.a     4.28443e-26
